,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
310,0,704.07,552.13,204.27,2.93,22284,16096,403.33,558.45,2647.0,36.19,4598.3,67212,202.0,2468.8,1927.5,-90.07,-67.0,657.9,106.89
311,0,709.07,555.7,226.59,2.95,25481,17782,520.89,614.44,2974.0,36.97,5683.7,80441,243.4,3191.9,2248.4,-98.76,-69.0,661.2,134.3
312,0,714.66,559.09,228.64,2.91,30288,19460,624.62,717.75,3119.0,32.9,6479.8,91025,272.3,3644.6,2562.9,-107.45,-71.0,664.5,143.74
313,0,722.14,560.94,231.03,2.99,33662,22346,701.82,829.32,3141.0,38.98,7249.1,100906,294.6,4015.3,2939.2,-116.14,-73.0,667.8,182.61
314,0,731.15,568.22,233.94,2.98,36826,26779,802.38,995.37,3131.0,40.13,7934.7,109195,311.9,4321.9,3300.9,-124.83,-75.0,671.1,173.25
315,0,743.18,575.49,238.57,3.03,39961,29753,925.0,1333.83,2831.0,39.31,8630.5,117076,341.8,4336.1,3952.7,-133.52,-77.0,674.4,203.04
316,0,764.52,582.76,245.59,3.04,43294,31826,1041.43,1436.9,2930.0,40.06,9292.3,123265,306.4,4513.3,4472.7,-142.21,-79.0,677.7,215.28
317,0,791.81,590.03,256.22,3.03,46948,34645,1182.6,1398.79,4434.0,41.5,10210.1,131207,312.0,4740.3,5157.8,-150.9,-81.0,681.0,283.08
318,0,819.1,597.3,266.85,3.02,50792,36793,1329.52,1576.44,5938.0,42.94,11003.4,136920,318.7,4660.2,6024.5,-159.59,-83.0,684.3,350.88
319,0,839.45,604.57,277.48,3.01,55211,39552,1425.98,1677.33,7442.0,44.38,11574.2,137900,359.7,4439.3,6775.2,-168.28,-85.0,687.6,418.68
320,0,859.8,690.0,99.25,3.0,8471,6892,54.72,89.69,1247.0,36.1,944.1,16855,96.0,414.7,433.4,-176.97,165.29,690.9,60.0
321,0,880.15,696.0,100.53,2.99,8607,7465,70.37,112.75,1375.0,31.69,1057.9,18697,98.3,438.1,521.5,-185.66,302.0,694.2,62.0
322,0,900.5,703.0,101.62,2.98,8982,7818,77.5,137.46,1477.0,34.67,1190.1,20807,100.1,501.6,588.4,-194.35,669.4,697.5,71.0
323,0,920.85,712.0,102.71,2.97,11013,6069,88.46,180.1,1510.0,38.2,1352.2,23362,104.8,588.7,658.7,-203.04,462.35,700.8,72.0
324,0,941.2,722.0,102.68,2.96,10798,8581,101.7,230.55,1542.0,39.07,1600.3,27293,120.6,721.9,757.8,-211.73,753.0,704.1,89.0
325,0,961.55,731.0,104.87,2.86,13578,9227,120.66,281.0,1569.0,39.08,1846.3,28900,134.3,847.5,864.5,-220.42,820.0,707.4,90.0
326,0,981.9,738.0,106.19,2.88,15340,10713,146.98,331.45,4270.0,36.54,2161.5,33480,145.1,997.1,1019.3,-229.11,891.0,710.7,89.9
327,0,1002.25,740.0,107.55,2.85,18005,12390,179.98,381.9,2866.0,36.76,2500.1,38301,150.3,1128.8,1221.1,-237.8,945.0,714.0,92.5
328,0,1022.6,739.0,109.26,2.83,20802,13905,221.32,432.35,2322.0,36.41,3006.8,45563,175.0,1313.1,1518.7,-246.49,1006.0,717.3,97.5
329,0,667.9,738.0,111.07,2.77,22722,14764,259.92,482.8,2331.0,36.43,3340.9,50219,187.1,1433.5,1720.3,-255.18,1048.0,720.6,107.59
330,0,681.8,739.0,112.91,2.85,25321,15973,336.8,533.25,2331.0,37.04,3910.5,57947,215.2,1637.5,2057.9,-263.87,1064.0,723.9,93.08
331,0,688.5,742.0,114.75,2.86,28892,18046,396.88,583.7,2335.0,37.05,4406.3,64310,237.9,1829.0,2339.5,-272.56,1057.0,727.2,87.61
332,0,694.96,745.0,116.49,2.83,32570,20032,465.67,634.15,2417.0,38.21,4803.7,69444,252.9,1938.1,2612.6,-281.25,1085.0,730.5,100.59
333,0,699.88,767.0,118.5,2.8,35648,21667,519.32,684.6,2471.0,39.03,5230.2,74994,284.7,2053.2,2892.2,-289.94,1190.0,733.8,103.68
334,0,706.69,777.0,120.33,2.77,38763,22981,571.41,735.05,2488.0,39.74,5770.6,82052,290.3,2261.7,3218.6,-298.63,1134.0,737.1,93.39
335,0,713.2,782.0,121.96,2.74,39889,26319,658.18,785.5,2504.0,40.0,6100.2,85919,305.4,2307.0,3487.8,-307.32,1141.0,740.4,137.28
336,0,732.12,791.0,154.64,2.71,43052,28537,741.26,835.95,2127.0,40.12,6536.1,90999,317.3,2368.9,3849.9,-316.01,1154.0,743.7,167.32
337,0,746.04,805.0,157.42,2.68,46642,30729,834.06,886.4,2425.0,40.57,7202.0,98967,317.4,2569.2,4315.3,-324.7,1241.0,747.0,178.46
338,0,890.87,820.0,182.76,2.65,50146,32977,1018.32,936.85,2723.0,40.05,7856.6,106302,272.4,2829.3,4754.8,-333.39,1226.0,750.3,189.6
339,0,1035.7,835.0,208.1,2.62,51913,33439,1197.3,987.3,3021.0,41.2,9443.4,106416,343.1,3265.2,5835.1,-342.08,1211.0,753.6,200.74
340,0,596.3,578.0,193.99,2.75,11470,7997,83.91,1037.75,3319.0,28.44,1144.6,21208,94.2,635.8,414.5,-350.77,48.0,756.9,211.88
341,0,156.9,580.0,196.1,2.88,11991,9463,116.28,181.45,3617.0,30.99,1278.8,23587,98.5,690.8,489.4,-359.46,80.1,760.2,79.1
342,0,-282.5,583.0,198.94,3.01,12970,9396,145.26,212.0,3915.0,33.43,1453.3,26678,103.6,793.0,556.7,-368.15,113.9,763.5,87.8
343,0,-721.9,586.3,203.47,3.14,14277,10463,180.26,310.94,4213.0,33.13,1749.3,31943,109.8,954.0,685.5,-376.84,145.9,766.8,90.3
344,0,-1161.3,590.0,207.01,2.84,15882,11283,215.95,453.19,4511.0,35.03,2109.5,38292,120.5,1167.4,821.5,-385.53,174.3,770.1,95.4
345,0,656.0,594.45,211.17,2.76,17410,11818,264.78,2213.3,595.0,36.06,2447.3,44120,132.3,1341.9,973.2,-394.22,199.3,773.4,104.8
346,0,672.0,598.45,215.03,2.76,19673,12666,292.7,3973.41,2701.0,37.5,2874.4,51459,139.3,1580.7,1154.4,-402.91,215.2,776.7,58.0
347,0,690.0,575.0,218.77,2.73,22307,14009,371.04,5733.52,2044.0,37.51,3418.6,60774,150.9,1894.1,1373.5,-411.6,226.0,780.0,66.46
348,0,707.0,579.0,221.48,2.68,25304,16379,439.41,7493.63,2085.0,37.52,3946.5,69687,166.9,2190.8,1588.9,-420.29,229.6,783.3,78.39
349,0,719.0,582.0,221.46,2.63,27368,18203,506.08,9253.74,2098.0,37.83,4334.3,76101,183.5,2356.7,1794.1,-428.98,240.8,786.6,82.0
350,0,761.1,585.0,222.98,2.66,30166,19420,600.75,11013.85,2115.0,38.04,5181.0,90490,219.1,2856.7,2105.1,-437.67,245.3,789.9,87.71
351,0,762.8,587.0,223.79,2.61,34058,21695,750.72,12773.96,2192.0,38.13,6074.9,105606,255.2,3315.8,2504.0,-446.36,245.7,793.2,90.74
352,0,763.9,588.0,223.46,2.6,37902,22887,828.44,14534.07,2256.0,38.28,6601.2,114394,268.5,3475.1,2857.6,-455.05,251.9,796.5,99.73
353,0,766.3,590.0,223.56,2.59,41729,23129,939.89,16294.18,2342.0,38.28,7164.5,123754,272.1,3681.0,3211.5,-463.74,257.3,799.8,105.54
354,0,781.1,595.0,224.07,2.58,44155,27893,1000.86,18054.29,2395.0,38.28,7610.3,130769,275.7,3980.4,3354.2,-472.43,259.2,803.1,104.64
355,0,782.5,598.0,224.6,2.57,47852,29645,1252.64,19814.4,2444.0,38.31,8003.6,136773,284.7,4098.2,3620.7,-481.12,266.2,806.4,111.0
356,0,787.5,602.0,225.81,2.56,51560,31584,1289.26,21574.51,2493.0,39.8,8686.5,147537,302.1,4455.3,3929.1,-489.81,263.5,809.7,150.57
357,0,800.5,608.11,227.49,2.55,55656,33197,1410.6,23334.62,3034.0,40.08,9842.1,165706,305.8,5119.5,4416.8,-498.5,262.8,813.0,151.83
358,0,820.2,614.22,232.13,2.54,60134,36712,1594.1,25094.73,3575.0,41.38,10745.5,179108,306.0,5507.5,4932.0,-507.19,262.1,816.3,153.09
359,0,839.9,620.33,236.77,2.53,64886,38274,1767.9,26854.84,4116.0,42.68,11985.0,143157,322.0,5783.0,5880.0,-515.88,261.4,819.6,154.35
360,0,859.6,780.53,117.89,2.9,8540,6759,31.83,53.23,4657.0,31.69,600.7,17635,45.1,336.7,218.8,-524.57,260.7,822.9,155.61
361,0,879.3,780.62,118.65,2.88,9403,7526,41.16,62.82,5198.0,31.77,672.9,19704,47.1,380.8,245.0,-533.26,260.0,826.2,41.5
362,0,899.0,784.55,119.74,2.86,9933,7973,51.82,75.88,5739.0,32.67,760.6,22215,48.8,431.5,280.3,-541.95,259.3,829.5,56.6
363,0,918.7,791.36,121.04,2.86,11307,8947,63.05,126.24,6280.0,35.21,901.4,26149,47.2,520.3,334.0,-550.64,258.6,832.8,57.9
364,0,938.4,797.65,121.63,2.87,12867,9878,75.66,159.71,6821.0,37.56,1113.4,32031,54.2,672.4,386.8,-559.33,257.9,836.1,55.8
365,0,412.8,803.73,121.97,2.88,14589,10718,97.85,159.71,804.0,38.8,1322.5,32467,59.6,812.6,450.3,-568.02,257.2,839.4,54.9
366,0,426.0,810.67,122.32,2.9,16650,12503,117.7,185.78,4502.0,40.6,1603.9,38256,66.1,972.2,565.6,-576.71,256.5,842.7,31.8
367,0,435.23,815.01,122.21,2.92,19089,13789,154.64,228.45,3184.0,41.6,1936.9,44997,74.3,1157.2,705.4,-585.4,255.8,846.0,43.48
368,0,440.71,818.11,123.4,2.91,21592,14967,186.68,242.82,3114.0,42.12,2301.5,52549,84.5,1350.3,866.7,-594.09,255.1,849.3,46.64
369,0,445.18,820.57,125.47,2.87,23751,15693,218.75,355.6,3328.0,42.12,2560.9,57815,91.8,1468.4,1000.8,-602.78,254.4,852.6,49.16
370,0,459.2,825.25,127.11,2.84,26269,17205,281.44,340.33,3437.0,42.15,3091.9,68365,99.8,1728.0,1264.1,-611.47,253.7,855.9,51.99
371,0,464.97,829.96,128.1,2.83,29829,19126,361.81,295.86,3572.0,42.17,3639.8,78758,111.8,2006.3,1521.7,-620.16,253.0,859.2,54.95
372,0,468.68,1072.0,128.75,2.83,33326,20918,391.22,402.06,3665.0,42.21,4039.8,86538,126.4,2167.8,1745.7,-628.85,252.3,862.5,58.08
373,0,469.21,1073.0,128.81,2.84,36288,22831,417.9,389.59,3798.0,42.87,4527.5,96547,130.3,2347.7,2049.5,-637.54,251.6,865.8,59.24
374,0,469.64,1074.0,129.42,2.85,39483,23590,434.93,582.83,3035.0,42.92,4991.4,106329,138.5,2494.5,2358.4,-646.23,250.9,869.1,61.83
375,0,470.14,1075.0,130.24,2.85,42710,25358,485.33,637.4,2399.0,43.08,5371.2,114308,146.6,2611.0,2613.7,-654.92,250.2,872.4,76.48
376,0,470.83,1077.0,131.45,2.85,46058,27080,508.11,582.4,1763.0,43.1,5875.9,124889,152.7,2750.0,2973.2,-663.61,249.5,875.7,83.53
377,0,471.73,1078.0,133.22,2.84,49955,28445,551.55,634.16,2441.0,43.1,6618.4,140435,157.1,3098.6,3362.7,-672.3,248.8,879.0,81.38
378,0,472.86,1082.0,134.91,2.83,64000,30351,594.82,685.92,3119.0,43.12,7050.3,149275,156.3,3263.3,3630.7,-680.99,248.1,882.3,122.25
379,0,473.99,1086.0,136.6,2.82,58345,32263,653.7,737.68,3797.0,43.14,7400.9,156390,157.0,3529.2,3714.7,-689.68,247.4,885.6,163.12
380,0,475.12,908.0,150.06,2.9,8603,6975,52.81,52.88,4475.0,35.7,1176.5,27109,46.2,690.3,440.0,-698.37,246.7,888.9,203.99
381,0,476.25,910.0,150.95,2.89,9454,7405,71.04,76.16,5153.0,29.63,1328.6,30526,52.1,758.1,518.5,-707.06,246.0,892.2,92.3
382,0,477.38,916.0,152.94,2.87,9988,7567,84.22,129.54,5831.0,31.38,1534.1,35087,54.2,876.0,603.9,-715.75,245.3,895.5,77.9
383,0,478.51,924.0,151.0,2.93,11647,8360,109.36,280.42,6509.0,36.1,1833.5,41616,51.2,1105.0,677.2,-724.44,244.6,898.8,100.7
384,0,479.64,934.0,150.67,2.97,13588,9518,143.1,325.87,7187.0,37.0,2274.3,51123,44.3,1399.1,831.0,-733.13,243.9,902.1,105.5
385,0,559.51,946.0,151.21,2.99,16005,10774,182.89,254.12,946.0,40.0,2839.5,51592,52.1,1729.1,1058.3,-741.82,243.2,905.4,116.7
386,0,584.17,956.0,151.93,3.01,18189,11372,213.4,182.37,1432.0,41.2,3350.2,58586,60.0,2016.5,1273.6,-750.51,242.5,908.7,88.6
387,0,599.21,964.0,153.1,3.02,20898,12257,270.82,110.62,1454.0,42.2,3932.0,66454,69.6,2324.5,1537.9,-759.2,241.8,912.0,88.87
388,0,610.73,970.0,153.82,3.02,23605,13563,338.98,38.87,1463.0,43.0,4529.8,74877,86.8,2640.0,1803.0,-767.89,241.1,915.3,90.52
389,0,619.57,973.0,154.53,3.01,25027,15619,405.61,-32.88,3178.0,43.18,5027.5,81728,92.8,2884.5,2050.2,-776.58,240.4,918.6,93.34
390,0,637.44,1008.0,155.56,3.0,27171,17068,488.68,-104.63,2074.0,42.62,5779.2,91943,103.0,3236.0,2440.2,-785.27,239.7,921.9,99.32
391,0,643.22,1011.0,156.31,2.99,31853,19780,592.67,-176.38,2062.0,42.58,6799.9,106183,119.4,3729.9,2950.6,-793.96,239.0,925.2,102.31
392,0,646.55,1016.0,157.12,2.99,25663,23000,648.61,-248.13,2089.0,42.68,7446.4,115468,132.6,4003.2,3310.7,-802.65,238.3,928.5,108.88
393,0,648.41,1020.0,158.09,2.99,38999,25392,711.49,-319.88,2110.0,42.78,7919.9,122318,130.4,4187.7,3601.7,-811.34,237.6,931.8,114.31
394,0,650.01,1031.0,159.78,2.99,41731,27358,748.06,-391.63,2115.0,42.9,8359.0,128756,138.2,4242.6,3978.3,-820.03,236.9,935.1,122.35
395,0,651.1,1039.0,161.67,2.97,45129,29466,821.86,-463.38,1953.0,42.98,8685.9,133515,137.7,4359.5,4188.7,-828.72,236.2,938.4,132.44
396,0,652.9,1051.0,163.87,2.97,48628,31438,867.36,-535.13,1791.0,42.98,9387.8,143985,135.3,4465.9,4786.6,-837.41,235.5,941.7,142.41
397,0,655.3,1065.0,166.85,2.96,52659,32972,987.66,-606.88,2020.0,43.0,10511.8,160706,135.2,4964.4,5412.2,-846.1,234.8,945.0,158.37
398,0,657.45,1074.0,169.2,2.95,56989,35016,1055.94,-678.63,2249.0,43.0,11438.6,174270,125.1,5464.0,5849.5,-854.79,234.1,948.3,165.0
399,0,659.6,1083.0,171.55,2.94,61915,37433,1117.58,-750.38,2478.0,43.0,11852.3,180277,122.5,5627.9,6101.9,-863.48,233.4,951.6,171.63
