,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
63,0,972.93,1309.0,220.29,2.58,15003,13211,370.09,57.25,976.0,34.19,3758.6,38398,105.6,1508.1,1883.1,782.95,516.75,87.0,231.0
64,0,966.06,1299.0,225.97,3.08,16884,13121,408.34,73.72,993.0,35.03,4450.6,45906,115.5,1817.7,2182.6,822.18,623.14,88.9,269.0
65,0,949.68,1277.0,230.29,3.12,18287,14468,438.41,85.4,1010.0,36.38,5187.9,54160,130.2,2045.2,2978.8,861.41,738.58,90.8,280.0
66,0,996.66,1312.0,234.65,3.1,19851,15445,506.79,548.65,2625.0,36.79,6124.2,62930,145.1,2430.0,3498.7,900.64,814.28,92.7,299.8
67,0,1053.01,1351.26,238.25,3.14,22469,18951,623.69,539.62,2766.0,37.14,7203.0,70284,149.9,2806.8,4152.5,939.87,888.35,94.6,340.0
68,0,1115.34,1531.0,242.56,3.12,25317,20836,713.35,605.86,2304.0,37.46,8366.0,77165,167.7,3199.0,4849.1,979.1,938.77,96.5,345.1
69,0,1186.97,1629.0,247.44,3.17,27610,22821,789.92,1020.54,2486.0,38.21,9240.6,80272,172.3,3405.2,5560.8,1018.33,1001.75,98.4,370.97
70,0,1270.96,1744.0,252.68,3.17,30658,25012,977.32,1332.21,2261.0,40.15,10859.3,88361,188.6,4002.3,6557.5,1057.56,1046.88,100.3,356.62
71,0,1275.14,1750.0,259.57,3.17,34438,28210,1181.25,997.73,2835.0,40.3,12562.1,98677,204.5,4577.0,7641.9,1096.79,1100.1,102.2,349.43
72,3,1283.89,1771.0,264.61,3.16,38054,30490,1343.65,1065.01,7317.0,40.5,13697.9,107055,213.8,4720.7,8616.8,1136.02,1142.17,104.1,413.35
73,3,1292.68,1783.0,270.61,3.21,42066,33157,1386.13,1137.19,7614.0,41.01,15663.5,121584,228.9,5227.4,9963.9,1175.25,1181.11,106.0,394.29
74,3,1308.05,1804.0,276.5,3.26,42955,33385,1436.22,1246.66,7912.0,41.5,16896.6,129938,218.7,5591.0,10897.2,1214.48,1209.96,107.9,430.21
75,3,1350.11,1863.0,280.27,2.98,46735,35753,1727.72,1339.08,5940.0,41.6,18313.8,137793,226.8,5726.1,12147.5,1253.71,1221.3,109.8,455.84
76,3,1404.35,1937.0,287.1,3.03,50941,38398,1943.75,1516.45,1171.0,41.8,19782.2,143638,239.3,5751.6,13556.6,1292.94,1214.58,111.7,504.36
77,3,1449.84,2000.0,295.02,3.05,55400,40637,2186.01,1684.3,5645.0,42.54,21503.2,150678,220.5,6011.0,15271.7,1332.17,1188.74,113.6,526.11
78,3,1490.44,2056.0,305.99,3.06,59982,42181,2506.18,1400.0,2005.0,45.13,22859.4,155491,223.4,6234.1,16401.8,1371.4,1171.09,115.5,557.56
79,3,1530.59,2112.0,316.96,3.07,65052,45049,2865.12,1506.47,-1635.0,47.72,23628.6,156427,251.4,6454.0,16923.2,1410.63,1153.44,117.4,589.01
80,1,2848.82,2168.0,938.87,3.08,6176,5570,187.64,262.93,-5275.0,21.8,1791.0,5157,284.9,760.0,746.1,1449.86,43.0,119.3,173.3
81,1,2829.21,2224.0,950.56,3.23,6721,5874,237.55,328.32,-8915.0,22.09,1976.9,5655,294.9,842.0,840.0,1489.09,55.0,1.1,164.6
82,1,2814.83,2280.0,961.69,3.24,7238,6360,305.86,499.27,1283.0,16.5,2232.9,6353,317.9,958.9,956.1,1528.32,68.0,1.3,211.7
83,1,2803.19,2336.0,977.01,3.2,8094,7118,341.58,691.55,1057.0,16.6,2555.7,8075,339.1,1135.3,1081.4,1567.55,82.0,1.0,215.3
84,1,2793.32,2392.0,988.59,3.18,9221,7973,395.72,614.43,1088.0,20.9,3048.0,9608,428.1,1386.8,1233.1,1606.78,97.0,1.1,237.2
85,1,2798.0,2448.0,1010.41,3.14,10244,8623,487.35,537.31,1093.0,21.6,3486.2,10978,463.4,1577.7,1445.2,1646.01,113.0,1.82,237.6
86,1,2808.0,2504.0,1030.66,3.1,11570,9399,594.3,465.85,1474.0,22.94,3929.7,12437,386.4,1888.2,1655.1,1685.24,127.0,1.86,243.9
87,1,2816.0,2560.0,1056.97,3.06,13715,9890,768.4,394.39,1527.0,31.81,4698.3,14622,476.6,2202.4,2019.2,1724.47,138.0,1.02,200.52
88,1,2839.0,2616.0,1080.15,3.02,15709,11147,1010.7,720.58,1574.0,34.1,5817.6,18025,563.1,2613.3,2641.2,1763.7,149.0,1.33,225.19
89,1,2859.0,2672.0,1110.7,2.95,17191,12144,1298.4,1542.57,1637.0,36.76,6560.0,22916,589.8,2973.3,2996.8,1802.93,160.0,1.76,224.3
90,1,2884.62,2728.0,1154.83,2.86,19100,13335,1771.0,1911.45,1860.0,39.48,7957.5,23897,659.1,3574.1,3724.3,1842.16,171.0,4.24,256.68
91,1,2919.0,2784.0,1205.2,2.76,21955,14974,2570.2,1926.3,1830.0,40.28,10048.1,34500,805.3,4518.9,4723.9,1881.39,182.0,4.7,281.56
