,gross_value_of_secondary_industry,gross_value_of_the_tertiary_industry
95,7195.0,7527.1
96,7898.9,8538.4
97,8584.6,9564.0
98,8328.8,10656.1
99,9496.8,12557.5
100,863.8,764.4
101,959.1,881.3
102,1069.1,997.5
103,1337.3,1150.8
104,1708.0,1328.1
105,2165.8,1669.7
106,2497.9,1917.7
107,2941.8,2268.7
108,3776.9,2912.0
109,4064.0,3434.7
110,4937.5,4274.6
111,6058.9,5261.7
112,6828.0,6111.2
113,7460.1,7045.0
114,7933.5,7872.2
115,7918.1,8714.3
116,7571.4,10098.1
117,7593.6,10786.6
118,7609.8,11027.1
119,4969.2,8949.9
120,533.3,592.2
121,582.4,668.0
122,635.5,741.9
123,701.9,825.2
124,825.8,954.2
125,1026.3,1125.3
126,1205.4,1358.0
127,1440.0,1640.3
128,1867.2,2103.6
129,2142.1,2329.7
130,2532.8,2863.1
131,3254.0,3309.5
132,3859.6,3843.1
133,4396.17,4319.7
134,4785.7,4933.8
135,4981.5,5564.3
136,5227.1,6294.9
137,5861.4,7140.8
138,6377.8,8107.5
139,5988.9,9855.3
140,491.9,524.1
141,544.7,611.9
142,610.7,708.8
143,802.2,819.0
144,1014.8,997.0
145,1213.6,1162.7
146,1377.2,1369.0
147,1628.7,1637.3
148,1797.7,1942.5
149,1960.6,2197.5
150,2363.4,2692.5
151,2807.1,3258.8
152,3229.7,3891.8
153,3527.3,4476.9
154,3696.3,5045.5
155,3983.1,5646.1
156,4191.3,6218.5
157,4454.9,6997.2
158,4721.6,7825.4
159,5040.9,8699.5
160,709.3,569.3
161,793.6,663.0
162,901.8,765.4
163,1075.8,897.4
164,1318.2,1092.7
165,1494.4,1301.3
166,1728.4,1560.2
167,2045.9,1894.7
168,2372.6,2236.6
169,2365.8,2555.1
170,2819.8,2937.5
171,3280.5,3520.0
172,3500.1,4078.4
173,3574.3,4562.7
174,3845.6,5086.2
175,3909.0,5853.2
176,4120.9,6888.6
177,4362.5,7929.8
178,4571.9,8631.7
179,4875.0,10172.0
180,422.1,618.3
181,490.3,713.3
182,558.6,804.7
183,652.5,915.8
184,805.6,1057.2
185,984.2,1214.7
186,1171.0,1406.1
187,1444.1,1685.6
